Unnamed: 0,mass (kg/m),h (mm),b (mm),tw (mm),tf (mm),r(mm),d (mm),Web class,Flange class,Iy (cm^4),Iz(cm^4),R_y(cm),R_z(cm),"W_el,y (cm^3)","W_el,z (cm^3)","W_pl,y (cm3)","W,pl,z (cm^3)",U,X,I_w (dm^6),I_T (cm^4),A (cm^2),Iy (mm^4),Iz (mm^4),R_y (mm),R_z (mm),"W_el,y (mm^3)","W_el,z (mm^3)","W_pl,y (mm3)","W,pl,z (mm^3)",I_w (mm^6),I_T (mm^4),A (mm^2)
356 x 406x 1299,1299.0,600.0,476.0,100.0,140.0,15.4,290.0,2.9,1.23,755000,254000.0,21.4,12.4,25200.0,10700.0,33200.0,16700.0,0.846,3.42,133.1,94500.0,1655.0,7550000000,2540000000.0,214.0,124.0,25200000.0,10700000.0,33200000.0,16700000.0,133100000000000.0,945000000.0,165500.0
356 x 406x 1202,1202.0,580.0,471.0,95.0,130.0,15.4,290.0,3.05,1.33,664000,229000.0,20.8,12.2,22900.0,9710.0,30000.0,15200.0,0.842,3.59,114.6,76300.0,1531.0,6640000000,2290000000.0,208.0,122.0,22900000.0,9710000.0,30000000.0,15200000.0,114600000000000.0,763000000.0,153100.0
356 x 406x 1086,1086.0,569.0,454.0,78.0,125.0,15.0,290.0,3.72,1.38,596000,196000.0,20.7,11.9,20900.0,8640.0,27200.0,13400.0,0.852,3.79,96.1,60500.0,1386.0,5960000000,1960000000.0,207.0,119.0,20900000.0,8640000.0,27200000.0,13400000.0,96100000000000.0,605000000.0,138600.0
356 x 406x 990,990.0,550.0,448.0,71.9,115.0,15.0,290.0,4.03,1.5,519000,173000.0,20.3,11.7,18900.0,7740.0,24300.0,12000.0,0.851,4.02,81.5,46900.0,1262.0,5190000000,1730000000.0,203.0,117.0,18900000.0,7740000.0,24300000.0,12000000.0,81500000000000.0,469000000.0,126200.0
356 x 406x 900,900.0,531.0,442.0,65.9,106.0,15.0,290.0,4.4,1.63,450000,153000.0,19.8,11.6,17000.0,6940.0,21600.0,10700.0,0.849,4.26,68.9,36400.0,1149.0,4500000000,1530000000.0,198.0,116.0,17000000.0,6940000.0,21600000.0,10700000.0,68900000000000.01,364000000.0,114900.0
356 x 406x 818,818.0,514.0,437.0,60.5,97.0,15.0,290.0,4.79,1.79,392000,136000.0,19.4,11.4,15300.0,6200.0,19300.0,9560.0,0.847,4.55,58.6,27800.0,1043.0,3920000000,1360000000.0,194.0,114.0,15300000.0,6200000.0,19300000.0,9560000.0,58600000000000.0,278000000.0,104300.0
356 x 406x 744,744.0,498.0,432.0,55.6,88.9,15.0,290.0,5.22,1.95,342000,120000.0,19.0,11.3,13700.0,5550.0,17200.0,8550.0,0.845,4.86,50.0,21400.0,948.0,3420000000,1200000000.0,190.0,113.0,13700000.0,5550000.0,17200000.0,8550000.0,50000000000000.0,214000000.0,94800.0
356 x 406x 677,677.0,483.0,428.0,51.2,81.5,15.0,290.0,5.66,2.13,300000,107000.0,18.6,11.1,12400.0,4990.0,15400.0,7680.0,0.844,5.19,42.9,16400.0,863.0,3000000000,1070000000.0,186.0,111.0,12400000.0,4990000.0,15400000.0,7680000.0,42900000000000.0,164000000.0,86300.0
356 x 406x 634,633.9,474.6,424.0,47.6,77.0,15.2,290.2,6.1,2.25,275000,98100.0,18.4,11.0,11600.0,4630.0,14200.0,7110.0,0.842,5.46,38.8,13700.0,808.0,2750000000,981000000.0,184.0,110.0,11600000.0,4630000.0,14200000.0,7110000.0,38800000000000.0,137000000.0,80800.0
356 x 406x 592,592.0,465.0,421.0,45.0,72.3,15.0,290.0,6.44,2.39,250000,90200.0,18.2,10.9,10800.0,4280.0,13100.0,6570.0,0.843,5.72,34.7,11400.0,755.0,2500000000,902000000.0,182.0,109.0,10800000.0,4280000.0,13100000.0,6570000.0,34700000000000.004,114000000.0,75500.0
356 x 406x 551,551.0,455.6,418.5,42.1,67.5,15.2,290.2,6.89,2.56,227000,82700.0,18.0,10.9,9960.0,3950.0,12100.0,6060.0,0.842,6.05,31.1,9240.0,702.0,2270000000,827000000.0,180.0,109.0,9960000.0,3950000.0,12100000.0,6060000.0,31100000000000.0,92400000.0,70200.0
356 x 406x 509,509.0,446.0,416.0,39.1,62.7,15.0,290.0,7.42,2.77,204000,75400.0,17.8,10.8,9170.0,3620.0,11000.0,5550.0,0.84,6.42,27.6,7390.0,649.0,2040000000,754000000.0,178.0,108.0,9170000.0,3620000.0,11000000.0,5550000.0,27600000000000.0,73900000.0,64900.0
356 x 406x 467,467.0,436.6,412.2,35.8,58.0,15.2,290.2,8.11,2.98,183000,67800.0,17.5,10.7,8380.0,3290.0,10000.0,5030.0,0.839,6.85,24.3,5810.0,595.0,1830000000,678000000.0,175.0,107.0,8380000.0,3290000.0,10000000.0,5030000.0,24300000000000.0,58100000.0,59500.0
356 x 406x 393,393.0,419.0,407.0,30.6,49.2,15.2,290.2,9.48,3.52,147000,55400.0,17.1,10.5,7000.0,2720.0,8220.0,4150.0,0.837,7.85,18.9,3550.0,501.0,1470000000,554000000.0,171.0,105.0,7000000.0,2720000.0,8220000.0,4150000.0,18900000000000.0,35500000.0,50100.0
356 x 406x 340,339.9,406.4,403.0,26.6,42.9,15.2,290.2,10.9,4.03,123000,46900.0,16.8,10.4,6030.0,2330.0,7000.0,3540.0,0.836,8.85,15.5,2340.0,433.0,1230000000,469000000.0,168.0,104.0,6030000.0,2330000.0,7000000.0,3540000.0,15500000000000.0,23400000.0,43300.0
356 x 406x 287,287.1,393.6,399.0,22.6,36.5,15.2,290.2,12.8,4.74,99900,38700.0,16.5,10.3,5070.0,1940.0,5810.0,2950.0,0.835,10.2,12.3,1440.0,366.0,999000000,387000000.0,165.0,103.0,5070000.0,1940000.0,5810000.0,2950000.0,12300000000000.0,14400000.0,36600.0
356 x 406x 235,235.1,381.0,394.8,18.4,30.2,15.2,290.2,15.8,5.73,79100,31000.0,16.3,10.2,4150.0,1570.0,4690.0,2380.0,0.835,12.0,9.54,812.0,299.0,791000000,310000000.0,163.0,102.0,4150000.0,1570000.0,4690000.0,2380000.0,9540000000000.0,8120000.0,29900.0
356 x 368x 202,201.9,374.6,374.7,16.5,27.0,15.2,290.2,17.6,6.07,66300,23700.0,16.1,9.6,3540.0,1260.0,3970.0,1920.0,0.844,13.3,7.16,558.0,257.0,663000000,237000000.0,161.0,96.0,3540000.0,1260000.0,3970000.0,1920000.0,7160000000000.0,5580000.0,25700.0
356 x 368x 177,177.0,368.2,372.6,14.4,23.8,15.2,290.2,20.2,6.89,57100,20500.0,15.9,9.54,3100.0,1100.0,3460.0,1670.0,0.843,15.0,6.09,381.0,226.0,571000000,205000000.0,159.0,95.39999999999999,3100000.0,1100000.0,3460000.0,1670000.0,6090000000000.0,3810000.0,22600.0
356 x 368x 153,152.9,362.0,370.5,12.3,20.7,15.2,290.2,23.6,7.92,48600,17600.0,15.8,9.49,2680.0,948.0,2960.0,1430.0,0.843,17.0,5.11,251.0,195.0,486000000,176000000.0,158.0,94.9,2680000.0,948000.0,2960000.0,1430000.0,5110000000000.0,2510000.0,19500.0
356 x 368x 129,129.0,355.6,368.6,10.4,17.5,15.2,290.2,27.9,9.37,40200,14600.0,15.6,9.43,2260.0,793.0,2480.0,1200.0,0.845,19.8,4.18,153.0,164.0,402000000,146000000.0,156.0,94.3,2260000.0,793000.0,2480000.0,1200000.0,4179999999999.9995,1530000.0,16400.0
305 x 305x 283,282.9,365.3,322.2,26.8,44.1,15.2,246.7,9.21,3.0,78900,24600.0,14.8,8.27,4320.0,1530.0,5110.0,2340.0,0.856,7.65,6.35,2030.0,360.0,789000000,246000000.0,148.0,82.69999999999999,4320000.0,1530000.0,5110000.0,2340000.0,6350000000000.0,20300000.0,36000.0
305 x 305x 240,240.0,352.5,318.4,23.0,37.7,15.2,246.7,10.7,3.51,64200,20300.0,14.5,8.15,3640.0,1280.0,4250.0,1950.0,0.854,8.74,5.03,1270.0,306.0,642000000,203000000.0,145.0,81.5,3640000.0,1280000.0,4250000.0,1950000.0,5030000000000.0,12700000.0,30600.0
305 x 305x 198,198.1,339.9,314.5,19.1,31.4,15.2,246.7,12.9,4.22,50900,16300.0,14.2,8.04,3000.0,1040.0,3440.0,1580.0,0.854,10.2,3.88,734.0,252.0,509000000,163000000.0,142.0,80.39999999999999,3000000.0,1040000.0,3440000.0,1580000.0,3880000000000.0,7340000.0,25200.0
305 x 305x 158,158.1,327.1,311.2,15.8,25.0,15.2,246.7,15.6,5.3,38700,12600.0,13.9,7.9,2370.0,808.0,2680.0,1230.0,0.852,12.4,2.87,378.0,201.0,387000000,126000000.0,139.0,79.0,2370000.0,808000.0,2680000.0,1230000.0,2870000000000.0,3780000.0,20100.0
305 x 305x 137,136.9,320.5,309.2,13.8,21.7,15.2,246.7,17.9,6.11,32800,10700.0,13.7,7.83,2050.0,692.0,2300.0,1050.0,0.852,14.1,2.39,249.0,174.0,328000000,107000000.0,137.0,78.3,2050000.0,692000.0,2300000.0,1050000.0,2390000000000.0,2490000.0,17400.0
305 x 305x 118,117.9,314.5,307.4,12.0,18.7,15.2,246.7,20.6,7.09,27700,9060.0,13.6,7.77,1760.0,589.0,1960.0,895.0,0.852,16.1,1.98,161.0,150.0,277000000,90600000.0,136.0,77.69999999999999,1760000.0,589000.0,1960000.0,895000.0,1980000000000.0,1610000.0,15000.0
305 x 305x 97,96.9,307.9,305.3,9.9,15.4,15.2,246.7,24.9,8.6,22200,7310.0,13.4,7.69,1450.0,479.0,1590.0,726.0,0.851,19.2,1.56,91.2,123.0,222000000,73100000.0,134.0,76.9,1450000.0,479000.0,1590000.0,726000.0,1560000000000.0,912000.0,12300.0
254 x 254x 167,167.1,289.1,265.2,19.2,31.7,12.7,200.3,10.4,3.48,30000,9870.0,11.9,6.81,2080.0,744.0,2420.0,1140.0,0.851,8.48,1.63,626.0,213.0,300000000,98700000.0,119.0,68.1,2080000.0,744000.0,2420000.0,1140000.0,1630000000000.0,6260000.0,21300.0
254 x 254x 132,132.0,276.3,261.3,15.3,25.3,12.7,200.3,13.1,4.36,22500,7530.0,11.6,6.69,1630.0,576.0,1870.0,878.0,0.85,10.3,1.19,319.0,168.0,225000000,75300000.0,116.0,66.9,1630000.0,576000.0,1870000.0,878000.0,1190000000000.0,3190000.0,16800.0
254 x 254x 107,107.1,266.7,258.8,12.8,20.5,12.7,200.3,15.6,5.38,17500,5930.0,11.3,6.59,1310.0,458.0,1480.0,697.0,0.848,12.4,0.898,172.0,136.0,175000000,59300000.0,113.0,65.9,1310000.0,458000.0,1480000.0,697000.0,898000000000.0,1720000.0,13600.0
254 x 254x 89,88.9,260.3,256.3,10.3,17.3,12.7,200.3,19.4,6.38,14300,4860.0,11.2,6.55,1100.0,379.0,1220.0,575.0,0.85,14.5,0.717,102.0,113.0,143000000,48600000.0,112.0,65.5,1100000.0,379000.0,1220000.0,575000.0,717000000000.0,1020000.0,11300.0
254 x 254x 73,73.1,254.1,254.6,8.6,14.2,12.7,200.3,23.3,7.77,11400,3910.0,11.1,6.48,898.0,307.0,992.0,465.0,0.849,17.2,0.562,57.6,93.1,114000000,39100000.0,111.0,64.80000000000001,898000.0,307000.0,992000.0,465000.0,562000000000.0,576000.0,9310.0
203 x 203x 127,127.5,241.4,213.9,18.1,30.1,10.2,160.8,8.88,2.91,15400,4920.0,9.75,5.5,1280.0,460.0,1520.0,704.0,0.856,7.36,0.549,427.0,162.0,154000000,49200000.0,97.5,55.0,1280000.0,460000.0,1520000.0,704000.0,549000000000.00006,4270000.0,16200.0
203 x 203x 113,113.5,235.0,212.1,16.3,26.9,10.2,160.8,9.87,3.26,13300,4290.0,9.59,5.45,1130.0,404.0,1330.0,618.0,0.852,8.11,0.464,305.0,145.0,133000000,42900000.0,95.9,54.5,1130000.0,404000.0,1330000.0,618000.0,464000000000.0,3050000.0,14500.0
203 x 203x 100,99.6,228.6,210.3,14.5,23.7,10.2,160.8,11.1,3.7,11300,3680.0,9.44,5.39,988.0,350.0,1150.0,534.0,0.852,9.01,0.386,210.0,127.0,113000000,36800000.0,94.39999999999999,53.9,988000.0,350000.0,1150000.0,534000.0,386000000000.0,2100000.0,12700.0
203 x 203x 86,86.1,222.2,209.1,12.7,20.5,10.2,160.8,12.7,4.29,9450,3130.0,9.28,5.34,850.0,299.0,977.0,456.0,0.849,10.2,0.318,137.0,110.0,94500000,31300000.0,92.8,53.4,850000.0,299000.0,977000.0,456000.0,318000000000.0,1370000.0,11000.0
203 x 203x 71,71.0,215.8,206.4,10.0,17.3,10.2,160.8,16.1,5.09,7620,2540.0,9.18,5.3,706.0,246.0,799.0,374.0,0.853,11.9,0.25,80.2,90.4,76200000,25400000.0,91.8,53.0,706000.0,246000.0,799000.0,374000.0,250000000000.0,802000.0,9040.0
203 x 203x 60,60.0,209.6,205.8,9.4,14.2,10.2,160.8,17.1,6.2,6120,2060.0,8.96,5.2,584.0,201.0,656.0,305.0,0.846,14.1,0.197,47.2,76.4,61200000,20600000.0,89.60000000000001,52.0,584000.0,201000.0,656000.0,305000.0,197000000000.0,472000.0,7640.000000000001
203 x 203x 52,52.0,206.2,204.3,7.9,12.5,10.2,160.8,20.4,7.04,5260,1780.0,8.91,5.18,510.0,174.0,567.0,264.0,0.847,15.8,0.167,31.8,66.3,52600000,17800000.0,89.1,51.8,510000.0,174000.0,567000.0,264000.0,167000000000.0,318000.0,6630.0
203 x 203x 46,46.1,203.2,203.6,7.2,11.0,10.2,160.8,22.3,8.0,4570,1550.0,8.82,5.13,450.0,152.0,497.0,231.0,0.847,17.7,0.143,22.2,58.7,45700000,15500000.0,88.2,51.3,450000.0,152000.0,497000.0,231000.0,143000000000.0,222000.0,5870.0
152 x 152x 51,51.2,170.2,157.4,11.0,15.7,7.6,123.6,11.2,4.18,3230,1020.0,7.04,3.96,379.0,130.0,438.0,199.0,0.848,10.1,0.061,48.8,65.2,32300000,10200000.0,70.4,39.6,379000.0,130000.0,438000.0,199000.0,61000000000.0,488000.0,6520.0
152 x 152x 44,44.0,166.0,155.9,9.5,13.6,7.6,123.6,13.0,4.82,2700,860.0,6.94,3.92,326.0,110.0,372.0,169.0,0.847,11.5,0.05,31.7,56.1,27000000,8600000.0,69.4,39.2,326000.0,110000.0,372000.0,169000.0,50000000000.0,317000.0,5610.0
152 x 152x 37,37.0,161.8,154.4,8.0,11.5,7.6,123.6,15.5,5.7,2210,706.0,6.85,3.87,273.0,91.5,309.0,140.0,0.848,13.3,0.04,19.2,47.1,22100000,7060000.0,68.5,38.7,273000.0,91500.0,309000.0,140000.0,40000000000.0,192000.0,4710.0
152 x 152x 30,30.0,157.6,152.9,6.5,9.4,7.6,123.6,19.0,6.98,1750,560.0,6.76,3.83,222.0,73.3,248.0,112.0,0.847,16.1,0.031,10.5,38.3,17500000,5600000.0,67.6,38.3,222000.0,73300.0,248000.0,112000.0,31000000000.0,105000.0,3829.9999999999995
152 x 152x 23,23.0,152.4,152.2,5.8,6.8,7.6,123.6,21.3,9.65,1250,400.0,6.54,3.7,164.0,52.6,182.0,80.1,0.842,20.6,0.021,4.63,29.2,12500000,4000000.0,65.4,37.0,164000.0,52600.0,182000.0,80100.0,21000000000.0,46300.0,2920.0
1016 x 305x 584,584.0,1056.0,314.0,36.0,64.0,30.0,868.1,24.1,1.7,1246000,33400.0,40.9,6.7,23600.0,2130.0,28000.0,3480.0,0.869,18.0,81.2,7150.0,744.0,12460000000,334000000.0,409.0,67.0,23600000.0,2130000.0,28000000.0,3480000.0,81200000000000.0,71500000.0,74400.0
1016 x 305x 494,494.0,1036.0,309.0,31.0,54.0,30.0,868.1,28.0,2.02,1028000,26800.0,40.4,6.53,19800.0,1740.0,23400.0,2820.0,0.867,20.9,64.0,4400.0,629.0,10280000000,268000000.0,404.0,65.3,19800000.0,1740000.0,23400000.0,2820000.0,64000000000000.0,44000000.0,62900.0
1016 x 305x 438,438.0,1026.0,305.0,26.9,49.0,30.0,868.1,32.3,2.23,910000,23400.0,40.4,6.49,17700.0,1540.0,20800.0,2470.0,0.869,23.1,56.0,3190.0,556.0,9100000000,234000000.0,404.0,64.9,17700000.0,1540000.0,20800000.0,2470000.0,56000000000000.0,31900000.0,55600.0
1016 x 305x 415,415.0,1020.0,304.0,26.0,46.0,30.0,868.1,33.4,2.37,853000,21700.0,40.2,6.41,16700.0,1430.0,19600.0,2300.0,0.868,24.3,51.1,2700.0,529.0,8530000000,217000000.0,402.0,64.1,16700000.0,1430000.0,19600000.0,2300000.0,51100000000000.0,27000000.0,52900.0
1016 x 305x 393,392.7,1015.9,303.0,24.4,43.9,30.0,868.1,35.6,2.49,808000,20500.0,40.2,6.4,15900.0,1350.0,18500.0,2170.0,0.867,25.5,48.4,2330.0,500.0,8080000000,205000000.0,402.0,64.0,15900000.0,1350000.0,18500000.0,2170000.0,48400000000000.0,23300000.0,50000.0
1016 x 305x 350,350.0,1008.0,302.0,21.1,40.0,30.0,868.1,41.1,2.76,723000,18500.0,40.3,6.44,14300.0,1220.0,16600.0,1940.0,0.872,27.8,43.3,1720.0,445.0,7230000000,185000000.0,403.0,64.4,14300000.0,1220000.0,16600000.0,1940000.0,43300000000000.0,17200000.0,44500.0
1016 x 305x 314,314.3,999.9,300.0,19.1,35.9,30.0,868.1,45.5,3.08,644000,16200.0,40.1,6.37,12900.0,1080.0,14800.0,1710.0,0.87,30.7,37.7,1260.0,400.0,6440000000,162000000.0,401.0,63.7,12900000.0,1080000.0,14800000.0,1710000.0,37700000000000.0,12600000.0,40000.0
1016 x 305x 272,272.3,990.1,300.0,16.5,31.0,30.0,868.1,52.6,3.6,554000,14000.0,40.0,6.35,11200.0,934.0,12800.0,1470.0,0.871,35.0,32.2,835.0,347.0,5540000000,140000000.0,400.0,63.5,11200000.0,934000.0,12800000.0,1470000.0,32200000000000.004,8350000.0,34700.0
1016 x 305x 249,248.7,980.1,300.0,16.5,26.0,30.0,868.1,52.6,4.3,481000,11800.0,39.0,6.09,9820.0,784.0,11300.0,1240.0,0.86,39.8,26.8,582.0,317.0,4810000000,118000000.0,390.0,60.9,9820000.0,784000.0,11300000.0,1240000.0,26800000000000.0,5820000.0,31700.0
1016 x 305x 222,222.0,970.3,300.0,16.0,21.1,30.0,868.1,54.3,5.31,408000,9550.0,38.0,5.81,8410.0,636.0,9810.0,1020.0,0.85,45.7,21.5,390.0,283.0,4080000000,95500000.0,380.0,58.099999999999994,8410000.0,636000.0,9810000.0,1020000.0,21500000000000.0,3900000.0,28300.0
914 x 419x 388,388.0,921.0,420.5,21.4,36.6,24.1,799.6,37.4,4.79,720000,45400.0,38.2,9.59,15600.0,2160.0,17700.0,3340.0,0.885,26.7,88.9,1730.0,494.0,7200000000,454000000.0,382.0,95.9,15600000.0,2160000.0,17700000.0,3340000.0,88900000000000.0,17300000.0,49400.0
914 x 419x 343,343.3,911.8,418.5,19.4,32.0,24.1,799.6,41.2,5.48,626000,39200.0,37.8,9.46,13700.0,1870.0,15500.0,2890.0,0.884,30.1,75.8,1190.0,437.0,6260000000,392000000.0,378.0,94.60000000000001,13700000.0,1870000.0,15500000.0,2890000.0,75800000000000.0,11900000.0,43700.0
914 x 305x 576,576.0,993.0,322.0,36.1,65.0,19.0,824.8,22.8,1.91,1102000,36500.0,38.8,7.06,22200.0,2270.0,26300.0,3660.0,0.874,16.8,77.9,7130.0,733.0,11020000000,365000000.0,388.0,70.6,22200000.0,2270000.0,26300000.0,3660000.0,77900000000000.0,71300000.0,73300.0
914 x 305x 521,521.0,981.0,319.0,33.0,58.9,19.0,824.8,25.0,2.11,982000,32100.0,38.5,6.96,20000.0,2020.0,23600.0,3240.0,0.873,18.3,67.7,5340.0,664.0,9820000000,321000000.0,385.0,69.6,20000000.0,2020000.0,23600000.0,3240000.0,67700000000000.0,53400000.0,66400.0
914 x 305x 474,474.0,971.0,316.0,30.0,54.1,19.0,824.8,27.5,2.29,886000,28700.0,38.3,6.89,18200.0,1810.0,21400.0,2900.0,0.873,19.8,59.8,4100.0,604.0,8860000000,287000000.0,383.0,68.89999999999999,18200000.0,1810000.0,21400000.0,2900000.0,59800000000000.0,41000000.0,60400.0
914 x 305x 425,425.0,961.0,313.0,26.9,49.0,19.0,824.8,30.7,2.53,788000,25200.0,38.1,6.82,16400.0,1610.0,19100.0,2560.0,0.874,21.8,52.1,3030.0,542.0,7880000000,252000000.0,381.0,68.2,16400000.0,1610000.0,19100000.0,2560000.0,52100000000000.0,30300000.0,54200.0
914 x 305x 381,381.0,951.0,310.0,24.4,43.9,19.0,824.8,33.8,2.82,697000,21900.0,37.9,6.72,14600.0,1410.0,17000.0,2240.0,0.873,24.1,44.8,2200.0,486.0,6970000000,219000000.0,379.0,67.2,14600000.0,1410000.0,17000000.0,2240000.0,44800000000000.0,22000000.0,48600.0
914 x 305x 345,345.0,943.0,308.0,22.1,39.9,19.0,824.8,37.3,3.11,626000,19500.0,37.7,6.66,13300.0,1270.0,15400.0,2000.0,0.873,26.3,39.6,1650.0,440.0,6260000000,195000000.0,377.0,66.6,13300000.0,1270000.0,15400000.0,2000000.0,39600000000000.0,16500000.0,44000.0
914 x 305x 313,313.0,932.0,309.0,21.1,34.5,19.0,824.8,39.1,3.62,548000,17000.0,37.1,6.54,11800.0,1100.0,13600.0,1750.0,0.867,29.7,34.2,1160.0,398.0,5480000000,170000000.0,371.0,65.4,11800000.0,1100000.0,13600000.0,1750000.0,34200000000000.004,11600000.0,39800.0
914 x 305x 289,289.1,926.6,307.7,19.5,32.0,19.1,824.4,42.3,3.91,504000,15600.0,37.0,6.51,10900.0,1010.0,12600.0,1600.0,0.868,31.9,31.2,926.0,368.0,5040000000,156000000.0,370.0,65.1,10900000.0,1010000.0,12600000.0,1600000.0,31200000000000.0,9260000.0,36800.0
914 x 305x 271,271.0,923.0,307.0,18.4,30.0,19.0,824.8,44.8,4.18,472000,14500.0,36.9,6.48,10200.0,946.0,11800.0,1490.0,0.867,33.8,28.8,769.0,346.0,4720000000,145000000.0,369.0,64.80000000000001,10200000.0,946000.0,11800000.0,1490000.0,28800000000000.0,7690000.0,34600.0
914 x 305x 253,253.4,918.4,305.5,17.3,27.9,19.1,824.4,47.7,4.48,436000,13300.0,36.8,6.42,9500.0,871.0,10900.0,1370.0,0.864,36.2,26.4,626.0,323.0,4360000000,133000000.0,368.0,64.2,9500000.0,871000.0,10900000.0,1370000.0,26400000000000.0,6260000.0,32300.0
914 x 305x 238,238.0,915.0,305.0,16.5,25.9,19.0,824.8,50.0,4.84,406000,12300.0,36.6,6.36,8880.0,806.0,10200.0,1270.0,0.865,38.6,24.2,514.0,304.0,4060000000,123000000.0,366.0,63.6,8880000.0,806000.0,10200000.0,1270000.0,24200000000000.0,5140000.0,30400.0
914 x 305x 224,224.2,910.4,304.1,15.9,23.9,19.1,824.4,51.8,5.23,376000,11200.0,36.3,6.27,8270.0,739.0,9530.0,1160.0,0.86,41.4,22.1,422.0,286.0,3760000000,112000000.0,363.0,62.699999999999996,8270000.0,739000.0,9530000.0,1160000.0,22100000000000.0,4220000.0,28600.0
914 x 305x 201,200.9,903.0,303.3,15.1,20.2,19.1,824.4,54.6,6.19,325000,9420.0,35.7,6.07,7200.0,621.0,8350.0,982.0,0.853,46.9,18.4,291.0,256.0,3250000000,94200000.0,357.0,60.7,7200000.0,621000.0,8350000.0,982000.0,18400000000000.0,2910000.0,25600.0
838 x 292x 226,226.5,850.9,293.8,16.1,26.8,17.8,761.7,47.3,4.52,340000,11400.0,34.3,6.27,7980.0,773.0,9160.0,1210.0,0.87,34.9,19.3,514.0,289.0,3400000000,114000000.0,343.0,62.699999999999996,7980000.0,773000.0,9160000.0,1210000.0,19300000000000.0,5140000.0,28900.0
838 x 292x 194,193.8,840.7,292.4,14.7,21.7,17.8,761.7,51.8,5.58,279000,9070.0,33.6,6.06,6640.0,620.0,7640.0,974.0,0.862,41.6,15.2,306.0,247.0,2790000000,90700000.0,336.0,60.599999999999994,6640000.0,620000.0,7640000.0,974000.0,15200000000000.0,3060000.0,24700.0
838 x 292x 176,175.9,834.9,291.7,14.0,18.8,17.8,761.7,54.4,6.44,246000,7800.0,33.1,5.9,5890.0,535.0,6810.0,842.0,0.856,46.5,13.0,221.0,224.0,2460000000,78000000.0,331.0,59.0,5890000.0,535000.0,6810000.0,842000.0,13000000000000.0,2210000.0,22400.0
762 x 267x 197,196.8,769.8,268.0,15.6,25.4,16.5,686.0,44.0,4.32,240000,8170.0,30.9,5.71,6230.0,610.0,7170.0,958.0,0.869,33.2,11.3,404.0,251.0,2400000000,81700000.0,309.0,57.1,6230000.0,610000.0,7170000.0,958000.0,11300000000000.0,4040000.0,25100.0
762 x 267x 173,173.0,762.2,266.7,14.3,21.6,16.5,686.0,48.0,5.08,205000,6850.0,30.5,5.58,5390.0,514.0,6200.0,807.0,0.865,38.0,9.39,267.0,220.0,2050000000,68500000.0,305.0,55.8,5390000.0,514000.0,6200000.0,807000.0,9390000000000.0,2670000.0,22000.0
