Unnamed: 0,mass (kg/m),h (mm),b (mm),tw (mm),tf (mm),r(mm),d (mm),Web class,Flange class,Iy (cm^4),Iz(cm^4),R_y(cm),R_z(cm),"W_el,y (cm^3)","W_el,z (cm^3)","W_pl,y (cm3)","W,pl,z (cm^3)",U,X,I_w (dm^6),I_T (cm^4),A (cm^2),Iy (mm^4),Iz (mm^4),R_y (mm),R_z (mm),"W_el,y (mm^3)","W_el,z (mm^3)","W_pl,y (mm3)","W,pl,z (mm^3)",I_w (mm^6),I_T (mm^4),A (mm^2)
533 x 312x 182,181.5,550.7,314.5,15.2,24.4,12.7,476.5,31.3,5.61,123000,12700.0,23.1,7.4,4480.0,806.0,5040.0,1240.0,0.887,23.4,8.77,373.0,231.0,1230000000,127000000.0,231.0,74.0,4480000.0,806000.0,5040000.0,1240000.0,8770000000000.0,3730000.0,23100.0
533 x 312x 151,150.6,542.5,312.0,12.7,20.3,12.7,476.5,37.5,6.75,101000,10300.0,22.9,7.32,3710.0,659.0,4150.0,1010.0,0.886,27.8,7.01,216.0,192.0,1010000000,103000000.0,229.0,73.2,3710000.0,659000.0,4150000.0,1010000.0,7010000000000.0,2160000.0,19200.0
533 x 210x 138,138.3,549.1,213.9,14.7,23.6,12.7,476.5,32.4,3.68,86100,3860.0,22.1,4.68,3140.0,361.0,3610.0,568.0,0.873,25.0,2.67,250.0,176.0,861000000,38600000.0,221.0,46.8,3140000.0,361000.0,3610000.0,568000.0,2670000000000.0,2500000.0,17600.0
533 x 210x 122,122.0,544.5,211.9,12.7,21.3,12.7,476.5,37.5,4.08,76000,3390.0,22.1,4.67,2790.0,320.0,3200.0,500.0,0.878,27.6,2.32,178.0,155.0,760000000,33900000.0,221.0,46.7,2790000.0,320000.0,3200000.0,500000.0,2320000000000.0,1780000.0,15500.0
533 x 210x 109,109.0,539.5,210.8,11.6,18.8,12.7,476.5,41.1,4.62,66800,2940.0,21.9,4.6,2480.0,279.0,2830.0,436.0,0.875,30.9,1.99,126.0,139.0,668000000,29400000.0,219.0,46.0,2480000.0,279000.0,2830000.0,436000.0,1990000000000.0,1260000.0,13900.0
533 x 210x 101,101.0,536.7,210.0,10.8,17.4,12.7,476.5,44.1,4.99,61500,2690.0,21.9,4.57,2290.0,256.0,2610.0,399.0,0.873,33.2,1.81,101.0,129.0,615000000,26900000.0,219.0,45.7,2290000.0,256000.0,2610000.0,399000.0,1810000000000.0,1010000.0,12900.0
533 x 210x 92,92.1,533.1,209.3,10.1,15.6,12.7,476.5,47.2,5.57,55200,2390.0,21.7,4.51,2070.0,228.0,2360.0,355.0,0.873,36.4,1.6,75.7,117.0,552000000,23900000.0,217.0,45.099999999999994,2070000.0,228000.0,2360000.0,355000.0,1600000000000.0,757000.0,11700.0
533 x 210x 82,82.2,528.3,208.8,9.6,13.2,12.7,476.5,49.6,6.58,47500,2010.0,21.3,4.38,1800.0,192.0,2060.0,300.0,0.864,41.5,1.33,51.5,105.0,475000000,20100000.0,213.0,43.8,1800000.0,192000.0,2060000.0,300000.0,1330000000000.0,515000.0,10500.0
533 x 165x 85,84.8,534.9,166.5,10.3,16.5,12.7,476.5,46.3,3.96,48500,1270.0,21.2,3.44,1820.0,153.0,2100.0,243.0,0.859,35.5,0.857,73.8,108.0,485000000,12700000.0,212.0,34.4,1820000.0,153000.0,2100000.0,243000.0,857000000000.0,738000.0,10800.0
533 x 165x 75,74.7,529.1,165.9,9.7,13.6,12.7,476.5,49.1,4.81,41100,1040.0,20.8,3.3,1550.0,125.0,1810.0,200.0,0.853,41.1,0.691,47.9,95.2,411000000,10400000.0,208.0,33.0,1550000.0,125000.0,1810000.0,200000.0,691000000000.0,479000.0,9520.0
533 x 165x 66,65.7,524.7,165.1,8.9,11.4,12.7,476.5,53.5,5.74,35000,859.0,20.5,3.2,1340.0,104.0,1560.0,166.0,0.847,47.0,0.566,32.0,83.7,350000000,8590000.0,205.0,32.0,1340000.0,104000.0,1560000.0,166000.0,566000000000.0,320000.0,8370.0
457 x 191x 161,161.4,492.0,199.4,18.0,32.0,10.2,407.6,22.6,2.52,79800,4250.0,19.7,4.55,3240.0,426.0,3780.0,672.0,0.881,16.5,2.25,515.0,206.0,798000000,42500000.0,197.0,45.5,3240000.0,426000.0,3780000.0,672000.0,2250000000000.0,5150000.0,20600.0
457 x 191x 133,133.3,480.6,196.7,15.3,26.3,10.2,407.6,26.6,3.06,63800,3350.0,19.4,4.44,2660.0,341.0,3070.0,535.0,0.88,19.6,1.73,292.0,170.0,638000000,33500000.0,194.0,44.400000000000006,2660000.0,341000.0,3070000.0,535000.0,1730000000000.0,2920000.0,17000.0
457 x 191x 106,105.8,469.2,194.0,12.6,20.6,10.2,407.6,32.3,3.91,48900,2510.0,19.0,4.32,2080.0,259.0,2390.0,405.0,0.876,24.5,1.27,146.0,135.0,489000000,25100000.0,190.0,43.2,2080000.0,259000.0,2390000.0,405000.0,1270000000000.0,1460000.0,13500.0
